t;teta(t);wr(t);erreur;pwm
7550016;188.25;-301.55;-8.25;255.00
7600016;173.18;232.62;6.82;255.00
7650016;184.81;-189.55;-4.81;255.00
7700016;175.33;198.16;4.67;255.00
7750016;185.24;-189.55;-5.24;255.00
7800016;175.76;198.16;4.24;255.00
7850016;185.67;-215.39;-5.67;255.00
7900016;174.90;198.16;5.10;255.00
7950016;184.81;-180.93;-4.81;255.00
8000016;175.76;198.16;4.24;255.00
8050016;185.67;-180.93;-5.67;255.00
8100016;176.62;198.16;3.38;255.00
8150016;186.53;-189.55;-6.53;255.00
8200016;177.05;-198.16;2.95;255.00
8250016;167.14;568.64;12.86;255.00
8300016;195.58;-241.24;-15.58;255.00
8350016;183.51;-224.01;-3.51;255.00
8400016;172.31;611.71;7.69;255.00
8450020;202.90;-249.86;-22.90;255.00
8500020;190.41;-206.78;-10.41;255.00
8550024;180.07;-594.48;-0.07;255.00
8600024;150.34;758.18;29.66;255.00
8650028;188.25;-292.93;-8.25;255.00
8700028;173.61;249.86;6.39;255.00
8750028;186.10;-198.16;-6.10;255.00
8800028;176.19;215.39;3.81;255.00
8850028;186.96;-189.55;-6.96;255.00
8900028;177.48;-215.39;2.52;255.00
8950028;166.71;577.25;13.29;255.00
9000028;195.58;-249.86;-15.58;255.00
9050028;183.08;-224.01;-3.08;255.00
9100028;171.88;611.71;8.12;255.00
9150032;202.47;-249.86;-22.47;255.00
9200032;189.98;-215.39;-9.98;255.00
9250032;179.21;-603.10;0.79;255.00
9300032;149.05;758.18;30.95;255.00
9350032;186.96;-301.55;-6.96;255.00
9400032;171.88;232.62;8.12;255.00
9450032;183.51;-198.16;-3.51;255.00
9500032;173.61;215.39;6.39;255.00
9550032;184.38;-180.93;-4.38;255.00
9600032;175.33;206.78;4.67;255.00
9650032;185.67;-189.55;-5.67;255.00
9700032;176.19;198.16;3.81;255.00
9750032;186.10;-198.16;-6.10;255.00
9800032;176.19;215.39;3.81;255.00
9850032;186.96;-189.55;-6.96;255.00
