t;teta(t);wr(t);erreur;pwm
7500016;183.08;-25.85;-3.08;255.00
7550016;181.79;-86.16;-1.79;255.00
7600016;177.48;267.09;2.52;255.00
7650016;190.84;-68.93;-10.84;255.00
7700016;187.39;-86.16;-7.39;255.00
7750016;183.08;-241.24;-3.08;255.00
7800016;171.02;292.93;8.98;255.00
7850016;185.67;-120.62;-5.67;255.00
7900016;179.64;-94.77;0.36;255.00
7950016;174.90;284.32;5.10;255.00
8000016;189.11;-86.16;-9.11;255.00
8050016;184.81;-120.62;-4.81;255.00
8100016;178.78;-241.24;1.22;255.00
8150024;166.71;353.24;13.29;255.00
8200024;184.38;-129.24;-4.38;255.00
8250024;177.91;103.39;2.09;190.92
8300024;183.08;-25.85;-3.08;255.00
8350024;181.79;-155.08;-1.79;255.00
8400024;174.04;292.93;5.96;255.00
8450024;188.68;-94.77;-8.68;255.00
8500024;183.95;-120.62;-3.95;255.00
8550024;177.91;-241.24;2.09;255.00
8600024;165.85;336.01;14.15;255.00
8650024;182.65;-120.62;-2.65;255.00
8700024;176.62;129.24;3.38;255.00
8750024;183.08;-34.46;-3.08;255.00
8800024;181.36;-77.54;-1.36;255.00
8850024;177.48;258.47;2.52;255.00
8900024;190.41;-25.85;-10.41;255.00
8950024;189.11;-94.77;-9.11;255.00
9000024;184.38;-258.47;-4.38;255.00
9050024;171.45;292.93;8.55;255.00
9100024;186.10;-77.54;-6.10;255.00
9150024;182.22;-120.62;-2.22;255.00
9200024;176.19;258.47;3.81;255.00
9250024;189.11;-86.16;-9.11;255.00
9300024;184.81;-103.39;-4.81;255.00
9350024;179.64;-258.47;0.36;255.00
9400024;166.71;370.48;13.29;255.00
9450024;185.24;-129.24;-5.24;255.00
9500024;178.78;-103.39;1.22;255.00
9550024;173.61;310.17;6.39;255.00
9600024;189.11;-120.62;-9.11;255.00
9650024;183.08;-103.39;-3.08;255.00
9700024;177.91;-292.93;2.09;255.00
9750024;163.27;275.70;16.73;255.00
9800024;177.05;120.62;2.95;255.00
9850024;183.08;-180.93;-3.08;255.00
9900024;174.04;34.46;5.96;255.00
9950024;175.76;120.62;4.24;255.00
10000024;181.79;-215.39;-1.79;255.00
10050024;171.02;25.85;8.98;255.00
10100024;172.31;120.62;7.69;255.00
10150024;178.35;232.62;1.65;255.00
10200024;189.98;-267.09;-9.98;255.00
10250024;176.62;68.93;3.38;255.00
10300024;180.07;-77.54;-0.07;255.00
10350024;176.19;155.08;3.81;255.00
10400024;183.95;-112.00;-3.95;255.00
10450024;178.35;77.54;1.65;255.00
10500024;182.22;-103.39;-2.22;255.00
10550024;177.05;86.16;2.95;255.00
10600024;181.36;-103.39;-1.36;255.00
10650024;176.19;103.39;3.81;255.00
10700024;181.36;-103.39;-1.36;255.00
10750024;176.19;103.39;3.81;255.00
10800024;181.36;-86.16;-1.36;255.00
10850024;177.05;103.39;2.95;255.00
10900024;182.22;-86.16;-2.22;255.00
10950024;177.91;103.39;2.09;255.00
11000024;183.08;-86.16;-3.08;255.00
11050024;178.78;-103.39;1.22;255.00
11100024;173.61;224.01;6.39;255.00
11150024;184.81;-25.85;-4.81;255.00
11200024;183.51;-43.08;-3.51;255.00
11250024;181.36;-258.47;-1.36;255.00
11300024;168.44;284.32;11.56;255.00
11350024;182.65;-120.62;-2.65;255.00
11400024;176.62;86.16;3.38;255.00
11450024;180.93;-112.00;-0.93;255.00
11500024;175.33;120.62;4.67;255.00
11550024;181.36;-68.93;-1.36;255.00
11600024;177.91;68.93;2.09;255.00
11650024;181.36;-129.24;-1.36;255.00
11700024;174.90;77.54;5.10;255.00
11750024;178.78;146.47;1.22;255.00
11800024;186.10;-180.93;-6.10;255.00
11850024;177.05;94.77;2.95;255.00
11900024;181.79;-120.62;-1.79;255.00
11950024;175.76;60.31;4.24;255.00
12000024;178.78;120.62;1.22;255.00
12050024;184.81;-215.39;-4.81;255.00
