t;w(t)
0;0.0
50000;32.07
100000;65.45
150000;77.23
200000;82.465
250000;84.43
300000;86.395
350000;86.395
400000;86.395
450000;85.74
500000;86.395
550000;85.74
600000;86.395
650000;86.395
700000;87.05
750000;87.05
800000;86.395
850000;86.395
900000;86.395
950000;86.395
1000000;86.395
1050000;86.395
1100000;86.395
1150000;85.74
1200000;85.74
1250000;86.395
1300000;86.395
1350000;85.74
1400000;86.395
1450000;85.74
1500000;85.74
1550000;86.395
1600000;87.05
1650000;85.74
1700000;85.74
1750000;86.395
1800004;86.395
1850004;85.74
1900004;85.74
1950004;86.395
2000004;86.395
2050004;85.74
2100004;85.74
2150004;87.05
2200004;86.395
