t;w(t)
0;0.0
50000;24.87
100000;51.705
150000;60.87
200000;64.14
250000;65.45
300000;67.415
350000;66.76
400000;65.45
450000;66.76
500000;66.76
550000;66.76
600000;66.105
650000;66.76
700000;66.76
750000;66.76
800004;66.76
850004;66.105
900004;66.76
950008;66.76
1000008;66.105
1050008;66.76
1100008;66.76
1150008;67.415
1200008;66.105
1250008;66.76
1300008;66.76
1350008;66.105
1400008;66.76
1450008;66.105
1500012;66.76
1550012;66.76
1600012;66.76
1650012;66.76
1700012;66.76
1750012;66.105
1800012;66.76
1850012;66.105
1900012;66.105
1950012;66.76
2000016;66.76
2050016;67.415
2100016;66.76
2150016;66.76
2200016;66.76
2250016;66.105
2300016;66.76
2350016;66.76
