t;w(t)
0;0.0
50000;20.945
100000;41.89
150000;49.085
200000;51.705
250000;53.015
300000;53.67
350000;53.015
400000;53.67
450000;53.67
500000;54.325
550000;53.67
600000;54.325
650000;53.67
700000;53.67
750000;53.67
800000;54.325
850000;53.67
900000;53.67
950000;53.67
1000000;53.67
1050000;53.67
1100000;53.67
1150000;53.67
1200000;53.015
1250000;53.67
1300000;53.67
1350000;53.67
1400000;53.67
1450000;53.67
1500000;53.67
1550000;53.67
1600000;53.67
1650000;53.67
1700000;53.67
1750000;53.67
1800000;53.67
1850000;53.67
1900000;53.67
1950000;53.67
2000000;53.67
2050000;53.67
2100000;53.67
2150000;53.67
2200000;53.015
2250000;53.67
2300000;53.67
2350000;53.015
2400000;53.67
2450004;54.325
2500004;53.67
2550004;53.67
